shoulder_angle,elbow_angle,measured_z_cm,measured_y_px
100,148,22.939999999999998,230
100,149,55.010000000000005,273
100,154,23.159999999999997,262
100,159,60.099999999999994,307
99,70,22.520000000000003,198
99,129,54.230000000000004,-234
99,131,55.010000000000005,-199
99,133,40.26,-152
99,134,54.230000000000004,-92
99,135,53.47,-99
99,136,52.0,-13
99,137,51.29,-13
99,138,47.33,-7
99,139,51.29,92
99,141,49.25,146
99,142,49.25,139
99,143,52.730000000000004,194
99,144,53.47,195
99,147,53.47,256
99,150,44.96,268
99,152,58.31999999999999,289
99,154,21.9,243
99,155,46.12,268
99,157,58.31999999999999,290
99,158,59.2,289
99,159,58.31999999999999,290
98,125,58.31999999999999,-265
98,126,55.81,-237
98,127,57.459999999999994,-240
98,128,51.29,-201
98,129,54.230000000000004,-205
98,130,43.3,-170
98,131,48.6,-173
98,132,43.84,-99
98,133,53.47,-104
98,135,46.72,-23
98,136,53.47,42
98,137,53.47,40
98,138,55.81,50
98,139,49.91,147
98,140,42.77,154
98,141,52.730000000000004,178
98,142,39.78,182
98,143,50.59,217
98,144,49.91,222
98,145,54.230000000000004,254
98,146,54.230000000000004,252
98,147,57.459999999999994,292
98,148,22.310000000000002,245
98,152,47.96,289
97,70,20.549999999999997,210
97,124,58.31999999999999,-262
97,125,58.31999999999999,-263
97,126,55.81,-240
97,128,55.010000000000005,-221
97,129,49.25,-182
97,130,53.47,-185
97,131,40.26,-138
97,132,52.0,-143
97,134,50.59,-64
97,136,53.47,11
97,137,51.29,77
97,138,41.23,91
97,139,52.0,163
97,140,44.96,168
97,141,48.6,184
97,142,49.91,180
97,143,54.230000000000004,225
97,144,50.59,220
97,145,56.629999999999995,256
97,146,45.54,251
97,147,56.629999999999995,290
97,154,52.0,300
96,121,58.31999999999999,-298
96,122,59.2,-292
96,123,57.459999999999994,-254
96,124,56.629999999999995,-235
96,125,55.010000000000005,-236
96,126,55.010000000000005,-209
96,129,51.29,-185
96,130,47.96,-107
96,131,53.47,-79
96,132,51.29,-73
96,133,51.29,-13
96,134,44.4,-5
96,135,52.730000000000004,73
96,136,54.230000000000004,79
96,137,50.59,69
96,138,38.86,167
96,139,55.010000000000005,171
96,140,48.6,203
96,141,50.59,207
96,142,48.6,210
96,143,49.25,247
96,144,50.59,250
96,146,57.459999999999994,284
96,147,21.700000000000003,234
96,148,48.6,291
95,123,55.010000000000005,-248
95,124,55.81,-244
95,125,55.010000000000005,-247
95,126,47.33,-208
95,127,54.230000000000004,-189
95,128,47.96,-194
95,129,41.23,-135
95,130,48.6,-147
95,132,54.230000000000004,-76
95,133,51.29,-7
95,134,54.230000000000004,1
95,135,49.91,70
95,136,48.6,74
